USER_SCORE,TORONTO,STRESS,TORONTO_STRESS
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.5,1,0,0
2.0,1,0,0
0.5,1,0,0
1.0,1,0,0
1.6,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.75,1,0,0
1.0,1,0,0
0.0,1,0,0
1.5,1,0,0
0.0,1,0,0
2.0,1,0,0
3.0,1,0,0
0.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.5,1,0,0
1.3333333333333333,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.6666666666666667,1,0,0
0.0,1,0,0
0.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.75,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.8333333333333333,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
3.0,1,0,0
1.6,1,0,0
1.6666666666666667,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.6666666666666667,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
2.5,1,0,0
3.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.8888888888888888,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.5,1,0,0
2.0,1,0,0
1.1764705882352942,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.2,1,0,0
2.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.0,1,0,0
0.0,1,0,0
0.0,1,0,0
0.0,1,0,0
2.0,1,0,0
0.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.6666666666666667,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.6666666666666667,1,0,0
1.0,1,0,0
4.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.5,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
0.0,1,0,0
1.0,1,0,0
2.0,1,0,0
0.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.4,1,0,0
2.0,1,0,0
1.0,1,0,0
1.5,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.2,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
1.25,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.5,1,0,0
0.0,1,0,0
1.6666666666666667,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
2.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.8333333333333333,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.6666666666666665,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.25,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.1111111111111112,1,0,0
1.5,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.75,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.25,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.6666666666666667,1,0,0
0.0,1,0,0
3.0,1,0,0
2.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.6666666666666667,1,0,0
0.8571428571428571,1,0,0
2.0,1,0,0
2.0,1,0,0
1.4,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.5,1,0,0
0.3333333333333333,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
0.0,1,0,0
1.5,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.6666666666666667,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
4.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.8571428571428572,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.125,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.1666666666666667,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.75,1,0,0
2.5,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
2.0,1,0,0
1.1666666666666667,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
3.0,1,0,0
1.5,1,0,0
1.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
1.0,1,0,0
1.25,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
1.6,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.4,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
0.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
4.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.6666666666666667,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.8,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.2,1,0,0
1.0,1,0,0
2.0,1,0,0
1.8333333333333333,1,0,0
1.5,1,0,0
2.0,1,0,0
2.25,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.5,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.6666666666666667,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
3.5,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
3.0,1,0,0
2.0,1,0,0
0.5,1,0,0
3.0,1,0,0
1.0,1,0,0
4.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
2.4285714285714284,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.5,1,0,0
3.0,1,0,0
1.0,1,0,0
0.0,1,0,0
1.3333333333333333,1,0,0
0.0,1,0,0
3.0,1,0,0
1.0,1,0,0
1.5,1,0,0
3.5,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
0.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.7142857142857142,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.5,1,0,0
1.5,1,0,0
1.6666666666666667,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.6,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
3.0,1,0,0
0.8,1,0,0
1.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
1.5,1,0,0
2.0,1,0,0
1.0,1,0,0
1.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
1.5714285714285714,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
0.5,1,0,0
1.0,1,0,0
1.0,1,0,0
2.5,1,0,0
1.0,1,0,0
2.0,1,0,0
1.5,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
1.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.5,1,0,0
2.0,1,0,0
1.5,1,0,0
1.5,1,0,0
2.5,1,0,0
3.0,1,0,0
4.0,1,0,0
4.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
4.0,1,0,0
2.5,1,0,0
2.0,1,0,0
1.0,1,0,0
1.6666666666666667,1,0,0
3.0,1,0,0
1.0,1,0,0
1.3333333333333333,1,0,0
1.0,1,0,0
2.0,1,0,0
3.0,1,0,0
1.0,1,0,0
2.3333333333333335,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.3333333333333335,1,0,0
0.0,1,0,0
1.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
3.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.75,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
2.0,1,0,0
2.0,1,0,0
0.0,1,0,0
0.0,1,0,0
2.5,1,0,0
2.0,1,0,0
2.0,1,0,0
1.0,1,0,0
2.0,1,0,0
